TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2017-03-05 11:35:38.775,0.5425125,-0.42701158,-0.42369932,0.6403408,0.3613434,-0.249582,-0.5060514,0.41606188,0.7191111,-0.22396891,-0.19491088,0.559565,0.41363767,0.21560003,0.13066152,0.3471982,0.08457063,-0.07737648,0.058853682,0.3128729,718.022,864.2857,863.0769,730.9158,809.89014,0.5040283203125,0.10479736328125,0.86627197265625,0.55328369140625,3.805694580078125,3.895416259765625,1,1.0,1.0,1.0,1.0,98.38
2017-03-05 11:35:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:39.786,0.8952837,0.42783514,0.11083619,1.0511775,0.68986046,-0.26569834,-0.24901249,0.5687917,0.69870836,-0.054419987,-0.062301874,0.512722,0.47390863,0.07006359,0.18008311,0.19473194,-0.03480591,-0.19183458,4.8406242E-4,0.2007683,847.76556,876.77655,844.5421,825.2015,824.7985,0.51422119140625,0.1002197265625,0.85137939453125,-0.0,2.803802490234375,4.486083984375,1,1.0,1.0,1.0,1.0,98.38
2017-03-05 11:35:40.792,1.336122,0.6732851,0.65347207,1.1733425,1.0329765,0.04129052,0.25766876,0.8892652,0.9035555,0.17667165,0.40486094,0.79209924,0.5091815,-0.0065750214,0.21305983,0.5503275,0.052222542,-0.18228662,-0.08399732,0.28556383,624.94507,903.36993,919.0842,650.7326,1261.1721,0.48016357421875,0.10772705078125,0.875244140625,8.291778564453125,34.041900634765625,30.213775634765625,1,1.0,1.0,1.0,1.0,98.38
2017-03-05 11:35:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:41.820,0.8573512,1.6654661,1.5993867,0.7250354,0.67877877,1.0248573,0.48028544,0.37043327,0.4448861,0.17056148,0.5157198,0.44136488,0.5948461,0.06931368,0.10719399,0.59155023,-0.1949915,-0.08207448,-0.27388948,0.2930075,885.64105,842.9304,851.79486,870.32965,277.21613,0.1181640625,0.15045166015625,0.97393798828125,-1.831817626953125,5.33843994140625,-11.880645751953125,1,1.0,1.0,1.0,1.0,98.38
2017-03-05 11:35:42.829,0.8573512,1.9694835,1.9188122,0.7039404,0.67877877,1.3144822,0.72742903,0.38457412,0.4448861,0.30300862,0.4810161,0.43770182,0.5948461,0.076623976,0.055694222,0.5912224,-0.1949915,-0.082081206,-0.24868816,0.27668604,861.8681,866.7033,842.52747,849.7802,1554.9084,-0.05145263671875,0.124267578125,0.9869384765625,3.7982177734375,12.8900146484375,10.33294677734375,1,1.0,1.0,1.0,1.0,98.22
2017-03-05 11:35:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:43.841,0.8573512,1.7176191,1.7266474,0.7039404,0.67877877,1.3737897,0.8369967,0.38457412,0.4448861,0.69561064,0.16739954,0.43770182,0.5948461,0.33966145,-0.10573217,0.5912224,-0.1949915,-0.2042549,-0.43199313,0.27668604,78.57143,902.5641,805.4579,174.8718,999.67035,0.37835693359375,0.13616943359375,0.91094970703125,2.572021484375,-41.51123046875,4.732818603515625,1,2.0,1.0,1.0,2.0,98.22
2017-03-05 11:35:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2017-03-05 11:35:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:44.850,0.8573512,1.8802464,2.042941,0.7039404,0.67877877,1.5473876,1.26384,0.38457412,0.4448861,0.7064265,0.79750836,0.43770182,0.5948461,0.46032837,0.45767295,0.5912224,-0.1949915,0.030512089,-0.015343418,0.27668604,621.7216,867.50916,838.0952,24.981686,1429.1941,0.3927001953125,0.0360107421875,0.92828369140625,0.67291259765625,7.723541259765625,10.086212158203125,1,4.0,1.0,1.0,4.0,98.22
2017-03-05 11:35:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:45.859,0.8573512,1.1957431,1.6008576,0.7039404,0.67877877,0.6366745,0.94948864,0.38457412,0.4448861,0.60888433,0.80037254,0.43770182,0.5948461,0.24346744,0.42128375,0.5912224,-0.1949915,0.074297,0.302491,0.27668604,747.4359,856.2271,835.2747,1650.0,1180.989,0.50799560546875,0.0572509765625,0.86761474609375,-0.0,0.6280517578125,4.246826171875,1,2.0,1.0,1.0,4.0,98.22
2017-03-05 11:35:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:46.863,0.8573512,1.625119,1.4797604,0.7039404,0.67877877,1.0483353,0.9797152,0.38457412,0.4448861,0.48952535,0.48157895,0.43770182,0.5948461,-0.026133219,0.22186215,0.5912224,-0.1949915,-0.07650992,0.22388326,0.27668604,705.5311,905.38464,831.2454,24.981686,619.304,0.4100341796875,0.006591796875,0.90301513671875,13.331146240234375,9.8394775390625,25.742645263671875,1,2.0,1.0,1.0,4.0,98.22
2017-03-05 11:35:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:47.905,0.8573512,1.562632,1.9387406,0.7039404,0.67877877,1.0075204,1.0797555,0.38457412,0.4448861,0.45053083,0.26969248,0.43770182,0.5948461,0.16792344,0.22950244,0.5912224,-0.1949915,-0.05759661,0.28707817,0.27668604,808.2784,866.30035,850.18317,722.4542,979.12085,0.60662841796875,0.15777587890625,0.844482421875,8.516082763671875,-12.149810791015625,28.0828857421875,1,2.0,1.0,1.0,2.0,98.22
2017-03-05 11:35:48.918,0.8573512,0.823929,1.9027827,0.7039404,0.67877877,0.52067065,1.1940111,0.38457412,0.4448861,0.14775646,0.5521066,0.43770182,0.5948461,0.13064791,0.21154435,0.5912224,-0.1949915,-0.12531103,0.116178945,0.27668604,621.7216,997.25275,815.12823,513.73627,607.619,0.35107421875,0.125,0.915283203125,-13.196563720703125,15.245208740234375,-40.277557373046875,1,2.0,1.0,1.0,2.0,98.22
2017-03-05 11:35:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:49.946,0.8573512,0.85715795,1.5138721,0.7039404,0.67877877,0.13594833,0.6517318,0.38457412,0.4448861,0.18613337,0.4309319,0.43770182,0.5948461,0.090317175,0.027529592,0.5912224,-0.1949915,-0.30204737,-0.14284845,0.27668604,827.2161,861.06226,856.2271,808.2784,881.6117,0.381103515625,0.136962890625,0.9141845703125,-2.19818115234375,12.8900146484375,7.992706298828125,1,2.0,1.0,1.0,2.0,98.22
2017-03-05 11:35:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:50.962,0.8573512,1.4651589,1.3900658,0.7039404,0.67877877,1.165856,1.1943458,0.38457412,0.4448861,0.72646147,0.9632456,0.43770182,0.5948461,0.2748551,-0.111317284,0.5912224,-0.1949915,0.15732875,-0.045762036,0.27668604,836.08057,899.7436,834.4689,803.44324,1060.1099,0.37298583984375,0.27252197265625,0.92706298828125,6.86370849609375,-3.768310546875,5.75714111328125,1,2.0,1.0,1.0,2.0,98.22
2017-03-05 11:35:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:51.989,0.8573512,1.4895408,1.2488563,0.7039404,0.67877877,1.0178918,1.0536058,0.38457412,0.4448861,0.7323191,0.9632456,0.43770182,0.5948461,0.42005873,0.21471508,0.5912224,-0.1949915,0.42325154,0.5394398,0.27668604,935.6044,848.1685,836.08057,835.2747,705.12823,0.2015380859375,0.36761474609375,0.85614013671875,12.418975830078125,20.71075439453125,-0.216827392578125,1,2.0,1.0,1.0,2.0,98.22
2017-03-05 11:35:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:52.992,0.8573512,1.5884832,0.99361753,0.7039404,0.67877877,1.0349964,0.5880024,0.38457412,0.4448861,0.7604962,0.54427147,0.43770182,0.5948461,0.3572316,0.37120187,0.5912224,-0.1949915,0.3474448,0.53544456,0.27668604,851.79486,871.53845,806.26373,750.65936,782.8938,0.1173095703125,0.3245849609375,0.91473388671875,2.699127197265625,4.007568359375,-8.052520751953125,1,2.0,1.0,1.0,2.0,98.11
2017-03-05 11:35:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:54.000,0.8573512,1.722801,1.6386609,0.7039404,0.67877877,1.2746739,1.2382973,0.38457412,0.4448861,0.86103845,0.8098643,0.43770182,0.5948461,-0.124711335,0.17625155,0.5912224,-0.1949915,-0.47483996,-0.092163526,0.27668604,826.4103,866.30035,850.18317,790.9524,407.36264,0.2501220703125,0.25921630859375,0.93603515625,3.850555419921875,0.560760498046875,7.529144287109375,1,2.0,1.0,1.0,2.0,98.11
2017-03-05 11:35:55.034,1.0539412,1.5265784,1.2015965,1.5213727,1.042491,1.0704995,0.58476675,0.8000639,1.0768799,0.7814225,0.3964223,0.6315706,0.7839058,-0.23072085,0.04397278,0.72911716,0.5571676,-0.59139675,-0.43658262,0.62890416,809.89014,858.6447,849.7802,814.7253,720.4396,0.3350830078125,0.291259765625,0.8802490234375,5.016937255859375,4.53094482421875,5.15899658203125,1,1.0,1.0,1.0,1.0,98.11
2017-03-05 11:35:56.047,1.2899461,0.8799822,1.0565014,1.0397434,0.62042934,0.21561363,0.49580067,0.77063876,0.95135796,0.457055,0.4797209,0.8474739,0.7464778,-0.008999761,0.08935409,0.75090545,0.566313,-0.4563771,-0.2387404,0.5026691,859.45056,863.0769,864.68866,859.45056,833.663,0.34051513671875,0.2724609375,0.927490234375,-13.241424560546875,0.007476806640625,-12.2320556640625,1,1.0,1.0,1.0,1.0,98.11
2017-03-05 11:35:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:57.064,1.5338775,0.63079906,0.7450273,1.6884706,0.85942346,0.3299674,0.30188546,0.97556126,1.0167202,0.16612607,0.39645293,1.1836091,0.90333414,0.061164457,0.16292867,0.8053581,0.5088319,-0.32191926,-0.23533857,0.33810592,880.0,841.31866,857.03296,838.0952,536.30035,0.24273681640625,0.0279541015625,0.9228515625,-24.008026123046875,-12.142333984375,-1.973876953125,1,1.0,1.0,1.0,1.0,98.11
2017-03-05 11:35:58.080,1.4163662,0.82042813,1.1289225,1.7786419,0.766733,0.18989752,0.7511338,0.9669465,1.0166025,0.019145904,0.71500605,1.065649,0.84468824,0.0827694,0.074118756,0.72464776,0.6217836,0.023216134,-0.13475516,0.23345283,814.7253,875.56775,854.21246,850.989,1289.3773,0.56292724609375,0.052978515625,0.8211669921875,-0.635528564453125,-1.79443359375,5.689849853515625,1,1.0,1.0,1.0,1.0,98.11
2017-03-05 11:35:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:35:59.097,1.3565814,1.0653354,1.0781044,1.7949078,0.789223,0.11823094,0.36709648,0.61585826,1.1006913,0.37549582,0.28720045,0.6893119,0.95046866,0.52590746,0.2576342,0.9982701,0.8713279,0.5480305,0.25028667,0.98981637,689.41394,990.40295,846.1539,669.2674,1446.1172,0.583984375,0.09228515625,0.8509521484375,-0.171966552734375,16.934967041015625,-47.051544189453125,1,1.0,1.0,1.0,1.0,98.11
2017-03-05 11:35:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:36:00.118,1.2319672,0.92360955,1.8616127,1.7949078,0.841329,0.36987403,0.667774,0.61585826,1.0719733,0.4112924,0.46857512,0.6893119,0.9551385,0.4379633,0.17142615,0.9982701,0.87910056,0.45532033,0.2891898,0.98981637,839.304,828.4249,902.1612,873.5531,1284.1392,0.18365478515625,0.085693359375,0.981689453125,9.622650146484375,1.55517578125,15.888214111328125,1,1.0,1.0,1.0,1.0,98.11
2017-03-05 11:36:01.126,1.0310636,1.2766984,1.8934119,0.69727516,0.67148626,0.7788122,0.94301325,1.060566,0.7084754,0.40130153,0.62995285,0.7948608,0.8669386,0.17560323,0.26999164,0.5820397,0.5517225,0.15931739,0.22212002,0.21651506,830.84247,866.7033,838.9011,835.6777,768.3883,0.2640380859375,0.1575927734375,0.95733642578125,0.157012939453125,1.353302001953125,0.949554443359375,1,1.0,1.0,1.0,1.0,98.11
2017-03-05 11:36:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-03-05 11:36:02.158,0.9859363,1.0322406,1.3711253,0.9643343,0.86989605,0.7036766,0.8758657,0.8399665,0.90468913,0.45660532,0.71100825,0.76522803,0.97292864,0.32634303,0.2991165,0.5777298,0.5271835,0.093089625,0.16462414,0.30861443,842.9304,867.9121,856.2271,834.0659,602.7839,0.34539794921875,0.153076171875,0.94049072265625,-0.6878662109375,0.13458251953125,5.5328369140625,1,1.0,1.0,1.0,1.0,98.11
2017-03-05 11:36:03.189,1.227096,0.7249656,1.0535748,1.2048687,0.99093014,0.46059704,0.48245212,0.8067781,0.9562107,0.32545555,0.49572626,0.97806734,1.0156982,0.50688064,0.4979806,0.6871074,0.6033578,0.5600736,0.3742388,0.3003144,828.8278,869.5238,853.8095,819.5604,825.2015,0.34503173828125,0.1527099609375,0.93817138671875,4.62066650390625,6.407623291015625,15.962982177734375,1,1.0,1.0,1.0,1.0,97.95
2017-03-05 11:36:04.201,1.460442,0.8765552,1.2101312,0.98251516,0.7909989,0.45955893,0.85118943,0.52428895,0.97150123,0.21901163,0.782936,0.8469598,0.8807612,0.5115903,0.43084362,0.7367043,0.8272468,0.7109342,0.5507411,0.6838548,821.1722,848.1685,868.315,834.0659,571.75824,0.441162109375,0.1317138671875,0.9110107421875,-9.951629638671875,-7.932891845703125,18.30322265625,1,1.0,1.0,1.0,1.0,97.95
